AT2G43120	OS03G0845000
AT3G46920	OS06G0646400
AT2G43750	OS01G0978100
AT2G24490	OS02G0829100
AT2G24490	OS06G0693300
AT2G24490	OS02G0633400
AT3G57080	OS12G0139500
AT3G57080	OS11G0143400
AT2G15080	OS01G0132100
AT2G15080	OS12G0215950
AT2G15080	OS01G0162800
AT2G15080	OS04G0349700
AT2G15080	OS12G0218500
AT2G15080	OS01G0161000
AT2G15080	OS01G0160200
AT2G15080	OS04G0480500
AT2G15080	OS01G0163000
AT2G15080	OS01G0160700
AT2G15080	OS12G0222800
AT2G15080	OS12G0211500
AT2G15080	OS01G0158600
AT2G15080	OS12G0222900
AT2G15080	OS12G0217400
AT2G15080	OS01G0161300
AT1G16360	OS09G0560600
AT1G16360	OS06G0665000
AT1G16360	OS02G0173800
AT1G26670	OS01G0560200
AT1G26670	OS01G0707300
AT1G52200	OS02G0286933
AT1G57800	OS05G0102600
AT1G57800	OS04G0289800
AT4G23200	OS05G0493100
AT4G23200	OS07G0537000
AT4G23200	OS10G0326900
AT4G23200	OS07G0538200
AT4G23200	OS07G0541500
AT4G23200	OS07G0541400
AT4G23200	OS07G0541000
AT4G23200	OS07G0628900
AT4G23200	OS07G0537500
AT4G23200	OS07G0540800
AT4G23200	OS07G0541900
AT4G23200	OS10G0327000
AT4G23200	OS07G0538400
AT4G23200	OS07G0541800
AT4G23200	OS07G0540100
AT4G23200	OS07G0541200
AT4G23200	OS07G0628700
AT4G23200	OS07G0542400
AT4G23200	OS07G0542600
AT1G69460	OS03G0376000
AT1G69460	OS07G0632700
AT1G04310	OS04G0169100
AT1G04310	OS02G0820900
AT1G04310	OS07G0259100
AT1G08080	OS08G0423600
AT1G08080	OS08G0470700
AT1G08080	OS06G0610100
AT1G08080	OS08G0424100
AT1G08080	OS08G0423500
AT1G08080	OS08G0470200
AT3G56070	OS09G0571400
AT4G29810	OS06G0147800
AT4G29810	OS11G0226100
AT3G02780	OS05G0413400
AT3G02780	OS07G0546000
AT4G26560	OS12G0597000
AT4G26560	OS03G0626800
AT1G80870	OS08G0275200
AT2G46225	OS05G0585400
AT2G46225	OS01G0622700
AT5G18730	OS11G0578225
AT5G18730	OS11G0578250
AT5G18730	OS11G0578500
AT5G67570	OS05G0315100
AT1G75310	OS01G0634300
AT2G27700	OS01G0583700
AT1G02010	OS02G0452500
AT1G02010	OS04G0252400
AT1G02010	OS06G0135900
AT1G47900	OS10G0162400
AT1G47900	OS03G0246500
AT4G02725	OS03G0701300
AT4G35440	OS01G0704700
AT4G26240	OS01G0559300
AT3G55380	OS01G0839700
AT3G55380	OS05G0460200
AT2G16953	OS04G0691500
AT1G26760	OS03G0168700
AT1G05250	OS07G0531400
AT1G05250	OS03G0563600
AT3G44560	OS08G0298700
AT3G44560	OS07G0489100
AT3G44560	OS04G0354400
AT3G44560	OS04G0353600
AT3G44560	OS04G0354600
AT3G44560	OS08G0557800
AT3G44560	OS09G0567500
AT3G44560	OS04G0355500
AT3G44560	OS07G0416600
AT4G10925	OS01G0550200
AT1G12790	OS05G0588200
AT4G34640	OS03G0805100
AT4G34640	OS07G0200700
AT4G03340	OS08G0143500
AT3G27970	OS02G0709000
AT4G13550	OS04G0509100
AT3G17420	OS01G0323000
AT3G17420	OS11G0108800
AT3G17420	OS12G0109850
AT3G17420	OS12G0108100
AT3G08780	OS04G0479300
AT3G08780	OS07G0540200
AT1G31760	OS02G0130000
AT5G65470	OS09G0412200
AT1G33250	OS10G0516701
AT1G74000	OS07G0543600
AT1G74000	OS08G0175000
AT1G74000	OS06G0623700
AT1G74000	OS08G0442200
AT1G74000	OS09G0374900
AT1G74000	OS01G0698200
AT3G55660	OS01G0849100
AT3G55660	OS05G0454200
AT3G48480	OS11G0214001
AT5G66420	OS06G0472400
AT1G55580	OS06G0610350
AT1G55580	OS02G0197300
AT1G53903	OS08G0451200
AT1G53903	OS09G0433800
AT3G63400	OS07G0179200
AT1G19715	OS01G0775500
AT1G19715	OS05G0508400
AT3G06130	OS12G0144600
AT3G06130	OS11G0147500
AT1G69430	OS07G0595900
AT3G05660	OS01G0132100
AT3G05660	OS12G0215950
AT3G05660	OS01G0162800
AT3G05660	OS04G0349700
AT3G05660	OS12G0218500
AT3G05660	OS01G0161000
AT3G05660	OS01G0160200
AT3G05660	OS04G0480500
AT3G05660	OS01G0163000
AT3G05660	OS01G0160700
AT3G05660	OS12G0222800
AT3G05660	OS12G0211500
AT3G05660	OS01G0158600
AT3G05660	OS12G0222900
AT3G05660	OS12G0217400
AT3G05660	OS01G0161300
AT2G16130	OS01G0966900
AT2G16130	OS07G0582400
AT2G16130	OS07G0582500
AT3G24110	OS05G0147300
AT1G29890	OS05G0582100
AT1G29890	OS01G0631100
AT4G28600	OS10G0471400
AT2G06050	OS08G0459600
AT3G20920	OS02G0435000
AT5G26220	OS02G0465900
AT3G54830	OS04G0201800
AT3G54830	OS02G0101000
AT3G05545	OS09G0511500
AT3G05545	OS08G0539300
AT1G48650	OS01G0118100
AT5G15730	OS06G0283300
AT1G22670	OS03G0167500
AT1G22670	OS08G0104300
AT1G07030	OS03G0296800
AT5G61930	OS07G0600300
AT4G27260	OS05G0500900
AT4G27260	OS01G0785400
AT1G69860	OS04G0660900
AT1G69860	OS01G0913300
AT1G10120	OS03G0231950
AT1G10120	OS03G0728900
AT2G38390	OS10G0109300
AT2G38390	OS10G0107000
AT2G38390	OS03G0234900
AT2G38390	OS03G0234500
AT1G09960	OS12G0641400
AT4G27370	OS07G0562800
AT5G23030	OS08G0260600
AT3G51100	OS09G0530700
AT3G51100	OS06G0713900
AT3G28370	OS06G0235900
AT3G28370	OS06G0244200
AT5G20250	OS06G0172800
AT4G21470	OS10G0464400
AT4G21470	OS10G0209300
AT4G05220	OS07G0531500
AT1G33330	OS01G0887400
AT3G26840	OS09G0509500
AT3G29010	OS08G0435800
AT3G10450	OS11G0431700
AT3G10450	OS10G0101100
AT3G10450	OS11G0643400
AT3G10450	OS03G0730400
AT3G10450	OS03G0730700
AT3G10450	OS12G0581400
AT3G10450	OS11G0461000
AT3G10450	OS03G0730500
AT3G10450	OS11G0431100
AT3G10450	OS11G0431400
AT3G10450	OS11G0460800
AT3G10450	OS11G0432900
AT3G10450	OS02G0687900
AT3G10450	OS04G0176400
AT3G10450	OS10G0101200
AT3G10450	OS11G0430000
AT4G28340	OS12G0295600
AT1G63430	OS04G0534200
AT1G63430	OS04G0683600
AT3G14510	OS05G0235701
AT3G14510	OS07G0580900
AT1G80720	OS08G0439900
AT1G80720	OS09G0557400
AT1G69770	OS10G0104900
AT1G69770	OS03G0226800
AT1G08460	OS05G0440300
AT1G08460	OS05G0440250
AT1G78710	OS06G0531400
AT1G78710	OS01G0217000
AT1G78710	OS01G0652100
AT4G03820	OS02G0566400
AT4G03820	OS04G0448000
AT4G03820	OS06G0635200
AT3G28930	OS06G0702700
AT3G28930	OS02G0141000
AT3G52950	OS11G0170300
AT3G52950	OS01G0961200
AT3G52950	OS12G0169400
AT2G26330	OS02G0777400
AT2G26330	OS06G0203800
AT1G08610	OS10G0476900
AT3G57620	OS11G0169700
AT5G08070	OS01G0763200
AT5G08070	OS05G0513100
AT1G17540	OS02G0218400
AT2G39280	OS05G0465100
AT2G39280	OS01G0835000
AT2G39280	OS03G0283800
AT1G58643	OS04G0661200
AT5G08450	OS07G0477500
AT5G14030	OS01G0102700
AT5G14030	OS05G0103100
AT5G66080	OS06G0717800
AT2G47730	OS01G0933900
AT3G50670	OS10G0115600
AT1G25210	OS03G0223900
AT1G21610	OS01G0883200
AT5G45440	OS07G0105900
AT5G45440	OS01G0798900
AT4G05110	OS07G0557100
AT4G05110	OS07G0557200
AT4G05110	OS07G0557400
AT1G79710	OS06G0186700
AT1G79710	OS05G0376400
AT1G79710	OS04G0499100
AT5G15050	OS12G0639700
AT5G15050	OS03G0692000
AT3G50370	OS03G0395600
AT1G80840	OS06G0649000
AT1G80840	OS09G0417600
AT1G80840	OS02G0181300
AT1G80840	OS09G0417800
AT4G29940	OS02G0147800
AT4G23640	OS01G0935500
AT4G23640	OS07G0669650
AT3G09550	OS01G0837000
AT3G09550	OS03G0281000
AT5G44630	OS03G0361500
AT5G44630	OS03G0362032
AT2G40900	OS01G0803300
AT2G40900	OS05G0493800
AT2G40900	OS05G0409500
AT2G39140	OS03G0152700
AT5G05950	OS07G0240400
AT3G48670	OS12G0572500
AT5G63810	OS01G0875500
AT4G32470	OS03G0806900
AT4G32470	OS07G0205000
AT4G32470	OS08G0246400
AT3G11270	OS04G0661900
AT2G46440	OS06G0527300
AT2G46440	OS06G0527100
AT2G46440	OS02G0255000
AT2G17630	OS03G0157900
AT5G24100	OS01G0223600
AT4G29330	OS05G0187800
AT2G47790	OS12G0294100
AT1G71300	OS10G0488300
AT1G71300	OS03G0417900
AT5G48545	OS11G0295000
AT5G48545	OS12G0233300
AT1G49490	OS11G0657400
AT1G49490	OS01G0356900
AT1G49490	OS12G0542200
AT1G23645	OS09G0327550
AT3G08530	OS12G0104766
AT3G08530	OS11G0104866
AT3G08530	OS11G0104900
AT3G08530	OS12G0104800
AT1G09795	OS03G0134300
AT2G19190	OS02G0151100
AT2G19190	OS09G0356000
AT2G19190	OS09G0349100
AT2G19190	OS05G0525000
AT2G19190	OS05G0524500
AT2G19190	OS09G0355400
AT2G19190	OS05G0525600
AT2G19190	OS05G0525800
AT2G19190	OS12G0567500
AT2G19190	OS09G0350900
AT2G19190	OS09G0348400
AT2G19190	OS09G0351700
AT2G19190	OS09G0356800
AT5G56950	OS01G0711800
AT5G56950	OS06G0611700
AT5G56950	OS06G0149400
AT5G56950	OS05G0539700
AT5G56950	OS05G0235600
AT3G22380	OS07G0571100
AT2G41835	OS07G0569700
AT1G48690	OS07G0671500
AT1G48690	OS07G0576500
AT4G35620	OS04G0563700
AT4G35620	OS06G0726800
AT3G54500	OS01G0498200
AT2G45130	OS07G0614700
AT2G45130	OS10G0392600
AT2G45130	OS03G0406100
AT5G58400	OS12G0112000
AT5G58400	OS11G0112400
AT2G39110	OS10G0442800
AT2G39110	OS02G0819600
AT5G39510	OS01G0560200
AT5G39510	OS01G0707300
AT4G32660	OS01G0590900
AT1G75580	OS02G0445100
AT1G75580	OS06G0137400
AT1G75580	OS02G0445600
AT5G23090	OS08G0383700
AT5G45920	OS09G0121900
AT5G45920	OS06G0156400
AT5G45920	OS01G0543400
AT5G45920	OS04G0269700
AT5G45920	OS01G0214200
AT3G52760	OS03G0289200
AT5G18830	OS05G0408200
AT3G27460	OS12G0290600
AT2G38910	OS07G0161600
AT2G38910	OS03G0789000
AT3G28210	OS09G0385700
AT2G44360	OS09G0553800
AT5G50720	OS09G0450600
AT5G50720	OS11G0498600
AT5G50720	OS08G0467500
AT2G36060	OS09G0297100
AT1G26400	OS06G0548800
AT1G26400	OS06G0549600
AT1G26400	OS06G0548200
AT1G26400	OS02G0235900
AT1G26400	OS06G0549300
AT1G26400	OS06G0549900
AT1G26400	OS06G0549633
AT1G26400	OS11G0495950
AT1G26400	OS06G0548100
AT4G04360	OS03G0777500
AT3G25060	OS10G0540100
AT1G72980	OS08G0402100
AT1G72980	OS09G0364100
AT5G51840	OS10G0188400
AT4G17490	OS04G0547600
AT4G17490	OS02G0655200
AT1G59970	OS02G0740700
AT1G59970	OS06G0239100
AT2G32950	OS02G0771100
AT3G04860	OS07G0572300
AT3G04860	OS03G0806700
AT1G11520	OS02G0827300
AT2G24420	OS08G0519400
AT2G24420	OS09G0497700
AT2G24420	OS04G0607150
AT1G30640	OS12G0290100
AT1G30640	OS05G0511400
AT2G40950	OS07G0644100
AT2G40950	OS05G0411300
AT5G21930	OS03G0178100
AT1G26440	OS12G0502800
AT1G26440	OS12G0503300
AT1G26440	OS12G0503000
AT5G24240	OS02G0290500
AT5G24240	OS05G0590100
AT5G24240	OS01G0234850
AT5G24240	OS06G0340600
AT1G22070	OS04G0637000
AT1G22070	OS08G0176900
AT1G26700	OS04G0680800
AT3G55990	OS01G0830700
AT3G55990	OS05G0354400
AT3G55990	OS03G0291800
AT3G55990	OS11G0104800
AT3G55990	OS07G0693600
AT3G55990	OS12G0104700
AT3G55990	OS05G0470000
AT5G27607	OS06G0703600
AT2G40750	OS03G0335200
AT2G40750	OS05G0478400
AT2G40750	OS07G0680400
AT2G40750	OS05G0322900
AT2G40750	OS05G0478800
AT2G40750	OS01G0821600
AT3G09920	OS02G0822500
AT3G54900	OS03G0851200
AT5G25480	OS01G0612000
AT3G12910	OS12G0630800
AT3G12910	OS03G0777000
AT2G05100	OS03G0592500
AT3G18510	OS06G0618300
AT3G25730	OS02G0764100
AT3G25730	OS01G0140700
AT3G25730	OS01G0141000
AT1G78180	OS03G0191100
AT2G28960	OS01G0810800
AT2G28960	OS01G0810500
AT2G28960	OS01G0810600
AT2G28960	OS09G0358000
AT2G28960	OS05G0246600
AT2G28960	OS08G0518400
AT2G28960	OS01G0811001
AT3G48680	OS02G0508000
AT2G04842	OS02G0538000
AT1G55928	OS04G0440000
AT4G18550	OS01G0651800
AT4G18550	OS05G0574100
AT4G12000	OS07G0467600
AT1G29880	OS08G0538000
AT1G29880	OS04G0398300
AT5G27280	OS06G0724400
AT1G53645	OS06G0664400
AT5G37180	OS04G0309600
AT5G37180	OS04G0249500
AT5G37180	OS02G0831500
AT4G37760	OS03G0231800
AT4G37760	OS03G0231700
AT2G20690	OS12G0541000
AT4G02510	OS05G0151400
AT4G02510	OS01G0356800
AT4G02510	OS03G0835100
AT5G10110	OS02G0752300
AT2G45580	OS10G0166600
AT2G45580	OS10G0164500
AT2G45580	OS02G0569900
AT2G45580	OS02G0569400
AT2G45580	OS09G0447500
AT2G45580	OS08G0507702
AT2G45580	OS10G0351200
AT2G45580	OS09G0447300
AT2G45580	OS03G0248200
AT2G45580	OS08G0508000
AT2G45580	OS06G0294600
AT2G45580	OS01G0561600
AT2G45580	OS02G0569000
AT2G45580	OS08G0507100
AT2G45580	OS08G0507000
AT2G45580	OS12G0199800
AT2G45580	OS06G0599200
AT2G45580	OS06G0501900
AT2G45580	OS02G0500700
AT2G45580	OS08G0465700
AT2G45580	OS10G0165300
AT2G45580	OS10G0144700
AT2G45580	OS02G0571900
AT3G14290	OS11G0615700
AT3G23090	OS03G0799100
AT3G23090	OS07G0185432
AT3G08690	OS01G0819400
AT2G01830	OS02G0738400
AT2G01830	OS03G0717700
AT3G48540	OS01G0765000
AT4G34750	OS04G0662400
AT4G34750	OS04G0662200
AT1G06240	OS01G0214400
AT1G72330	OS10G0390500
AT1G72330	OS07G0617800
AT1G72330	OS03G0183600
AT3G54300	OS08G0558600
AT5G42470	OS06G0715600
AT5G51380	OS02G0658500
AT4G28150	OS10G0494000
AT4G28150	OS02G0827400
AT4G28150	OS04G0528000
AT1G20840	OS10G0539900
AT1G20840	OS02G0229400
AT4G33040	OS01G0194600
AT4G33040	OS05G0198200
AT1G45050	OS12G0636800
AT1G45050	OS03G0681400
AT5G61770	OS03G0343700
AT3G58970	OS03G0137700
AT1G52500	OS08G0304900
AT3G13010	OS06G0704000
AT1G10430	OS06G0574500
AT1G10430	OS02G0217600
AT3G01820	OS08G0118900
AT2G31865	OS03G0843900
AT3G54630	OS08G0468400
AT1G05670	OS07G0513200
AT5G66240	OS07G0589400
AT4G18380	OS01G0770400
AT4G18380	OS05G0510400
AT1G64110	OS01G0226400
AT2G16710	OS12G0485500
AT2G16710	OS01G0105800
AT5G47050	OS10G0565500
AT5G47050	OS02G0687500
AT1G65220	OS11G0414000
AT1G13635	OS08G0489300
AT2G29080	OS05G0458400
AT2G29080	OS01G0842600
AT3G45720	OS01G0960900
AT3G45720	OS05G0338933
AT3G45720	OS05G0338900
AT5G65000	OS02G0573300
AT2G46280	OS11G0606300
AT4G34200	OS04G0650800
AT2G19870	OS01G0742000
AT2G28520	OS01G0834200
AT4G12800	OS12G0420400
AT3G62900	OS05G0371100
AT3G62900	OS03G0347300
AT3G62900	OS07G0669800
AT1G55730	OS02G0138900
AT1G07310	OS01G0853800
AT1G77230	OS02G0553500
AT5G24790	OS08G0521000
AT5G24790	OS09G0494600
AT5G48780	OS03G0268600
AT5G48780	OS09G0325700
AT5G48780	OS01G0846300
AT3G22320	OS01G0805800
AT5G22820	OS03G0684100
AT2G44440	OS08G0510500
AT2G44440	OS04G0659400
AT2G44440	OS09G0279000
AT2G44440	OS08G0328300
AT4G30993	OS06G0183700
AT5G14740	OS01G0640000
AT5G14740	OS01G0639900
AT1G16430	OS08G0480500
AT1G16430	OS01G0132700
AT5G66760	OS07G0134800
AT1G27752	OS03G0205000
AT3G09700	OS01G0157800
AT3G09700	OS07G0192300
AT2G16580	OS02G0445100
AT2G16580	OS06G0137400
AT2G16580	OS02G0445600
AT5G47510	OS07G0456500
AT3G50390	OS03G0738700
AT3G50390	OS12G0594000
AT3G50390	OS03G0625300
AT4G34350	OS03G0732000
AT4G34350	OS03G0731900
AT4G14368	OS05G0545200
AT4G14368	OS01G0700200
AT1G11190	OS04G0636400
AT2G30730	OS03G0844100
AT2G30730	OS01G0899000
AT2G30730	OS09G0513600
AT3G23070	OS11G0592400
AT5G16950	OS06G0184100
AT5G16950	OS01G0258600
AT2G23690	OS03G0768900
AT2G23690	OS09G0493000
AT2G23690	OS07G0123100
AT2G23690	OS09G0492900
AT2G23690	OS06G0259850
AT2G23690	OS03G0740200
AT2G40710	OS03G0232900
AT1G26650	OS07G0595900
AT5G20300	OS12G0197400
AT3G01550	OS01G0172100
AT3G01550	OS05G0170950
AT5G49950	OS05G0432600
AT5G49950	OS01G0871100
AT5G40530	OS02G0593900
AT2G02930	OS01G0933900
AT4G38730	OS06G0715700
AT4G22320	OS08G0338600
AT2G32040	OS03G0795000
AT2G32040	OS07G0172900
AT3G58010	OS04G0665800
AT3G03740	OS07G0167200
AT3G03740	OS03G0792500
AT3G53900	OS05G0455700
AT3G08970	OS03G0293000
AT1G34640	OS07G0622900
AT5G38420	OS12G0292400
AT5G38420	OS12G0291200
AT5G38420	OS12G0291100
AT5G38420	OS12G0291400
AT5G38420	OS12G0274700
AT4G11790	OS03G0667700
AT5G37910	OS06G0311300
AT2G34940	OS04G0611400
AT2G34940	OS06G0664300
AT2G18720	OS12G0176800
AT2G18720	OS12G0607100
AT3G51780	OS01G0831200
AT4G05130	OS07G0557100
AT4G05130	OS07G0557200
AT4G05130	OS07G0557400
AT5G11320	OS01G0645400
AT5G63910	OS04G0692800
AT2G20320	OS03G0145500
AT3G14880	OS05G0560200
AT2G16190	OS01G0693100
AT2G16190	OS12G0236600
AT2G16190	OS05G0549500
AT2G16190	OS05G0549300
AT4G02730	OS07G0572000
AT3G45600	OS03G0853200
AT3G45600	OS12G0249100
AT3G45600	OS05G0122800
AT4G25670	OS02G0104200
AT4G25670	OS06G0106900
AT4G25670	OS02G0104100
AT1G49430	OS11G0558300
AT3G59110	OS01G0664200
AT3G59110	OS01G0631700
AT2G31800	OS02G0608500
AT2G31800	OS01G0892800
AT3G10320	OS01G0498300
AT3G10320	OS01G0956200
AT3G10320	OS07G0657400
AT3G10320	OS11G0575500
AT3G02640	OS01G0896400
AT3G02640	OS05G0507000
AT3G02640	OS04G0496300
AT3G02640	OS05G0564601
AT3G03110	OS03G0858100
AT1G01760	OS04G0683500
AT3G28917	OS11G0128300
AT3G28917	OS12G0124500
AT3G19960	OS10G0488800
AT3G14820	OS10G0140300
AT3G14820	OS02G0101400
AT3G14820	OS06G0351500
AT3G14820	OS09G0540400
AT3G14820	OS10G0438600
AT3G14820	OS03G0859100
AT2G46420	OS05G0212400
AT2G46420	OS01G0220200
AT4G30410	OS02G0791300
AT4G30410	OS06G0653200
AT4G30410	OS02G0178700
AT3G20560	OS07G0524100
AT2G33580	OS06G0625200
AT5G53330	OS06G0160400
AT1G65820	OS03G0709000
AT1G22900	OS11G0179500
AT1G22900	OS11G0180000
AT1G22900	OS11G0464600
AT1G22900	OS11G0179700
AT5G11050	OS01G0855400
AT2G38010	OS01G0624000
AT1G52080	OS01G0580800
AT1G52080	OS05G0185800
AT2G19490	OS11G0302700
AT2G19490	OS01G0901200
AT1G35180	OS01G0262500
AT1G30070	OS01G0757500
AT1G10410	OS03G0693000
AT3G12050	OS08G0464000
AT3G03341	OS01G0644200
AT1G73740	OS01G0516700
AT3G50120	OS04G0505400
AT4G16780	OS04G0548700
AT4G16780	OS10G0561800
AT2G35320	OS06G0110100
AT1G53350	OS11G0633500
AT1G53350	OS10G0183000
AT1G53350	OS03G0709200
AT1G34110	OS06G0589800
AT1G17240	OS02G0155600
AT1G17240	OS02G0153700
AT1G17240	OS02G0153400
AT1G17240	OS02G0155400
AT1G17240	OS02G0515125
AT1G17240	OS06G0692600
AT1G17240	OS02G0156400
AT1G17240	OS02G0156633
AT1G17240	OS06G0692100
AT1G17240	OS02G0153900
AT1G17240	OS02G0153100
AT1G17240	OS02G0153200
AT1G17240	OS02G0157200
AT1G17240	OS02G0156200
AT1G17240	OS06G0692300
AT1G17240	OS06G0692500
AT1G17240	OS02G0156600
AT1G17240	OS02G0154000
AT1G17240	OS02G0153500
AT1G17240	OS02G0154200
AT1G17240	OS02G0155700
AT1G17240	OS06G0691800
AT3G15970	OS05G0349500
AT3G01970	OS11G0490900
AT4G15830	OS01G0931200
AT2G47400	OS03G0306800
AT2G47400	OS01G0303000
AT4G09580	OS03G0703900
AT1G61730	OS08G0467600
AT1G61730	OS09G0451700
AT1G29260	OS02G0245100
AT4G33905	OS12G0508100
AT2G40360	OS07G0435400
AT1G33890	OS02G0557100
AT1G33890	OS04G0441600
AT5G09900	OS03G0851300
AT3G26810	OS11G0515500
AT3G26810	OS04G0395600
AT1G09210	OS03G0832200
AT1G09210	OS07G0246200
AT1G70080	OS03G0361500
AT1G70080	OS03G0362032
AT4G02930	OS03G0851100
AT4G38480	OS10G0544500
AT4G38480	OS06G0724500
AT3G27190	OS09G0505800
AT3G27190	OS08G0530000
AT1G10522	OS09G0382400
AT1G04570	OS07G0425000
AT4G34970	OS03G0243100
AT3G10130	OS02G0533200
AT5G52790	OS03G0125800
AT1G01830	OS03G0116900
AT1G01830	OS10G0522601
AT1G12340	OS06G0136500
AT3G54826	OS02G0819700
AT4G33690	OS08G0192200
AT4G33690	OS07G0213400
AT1G67590	OS02G0602000
AT1G69080	OS12G0501400
AT3G08040	OS03G0216700
AT3G08040	OS01G0919100
AT3G10680	OS10G0437700
AT3G10680	OS03G0656100
AT3G10680	OS03G0157600
AT3G10680	OS12G0624100
AT1G73300	OS11G0431700
AT1G73300	OS10G0101100
AT1G73300	OS11G0643400
AT1G73300	OS03G0730400
AT1G73300	OS03G0730700
AT1G73300	OS12G0581400
AT1G73300	OS11G0461000
AT1G73300	OS03G0730500
AT1G73300	OS11G0431100
AT1G73300	OS11G0431400
AT1G73300	OS11G0460800
AT1G73300	OS11G0432900
AT1G73300	OS02G0687900
AT1G73300	OS04G0176400
AT1G73300	OS10G0101200
AT1G73300	OS11G0430000
AT3G52590	OS03G0234200
AT3G52590	OS07G0493033
AT3G52590	OS09G0452700
AT3G52590	OS09G0568400
AT3G52590	OS07G0489500
AT5G47840	OS08G0109300
AT2G42240	OS06G0687500
AT5G04850	OS01G0103000
AT5G04850	OS05G0102900
AT1G30530	OS06G0192100
AT1G30530	OS07G0148200
AT1G12480	OS04G0574700
AT2G46330	OS06G0505700
AT2G46330	OS01G0657000
AT1G76850	OS04G0421900
AT1G73570	OS03G0259300
AT1G44130	OS11G0184800
AT1G44130	OS12G0177500
AT1G44130	OS11G0184600
AT1G44130	OS11G0183900
AT1G67340	OS02G0506400
AT1G67340	OS11G0488900
AT1G67340	OS04G0385600
AT1G67340	OS01G0921800
AT1G67340	OS05G0388151
AT1G43666	OS11G0620300
AT1G43666	OS01G0691100
AT1G43666	OS05G0550600
AT1G43666	OS10G0505700
AT1G43666	OS05G0550300
AT1G43666	OS10G0505500
AT1G43666	OS03G0111300
AT1G43666	OS10G0504900
AT1G43666	OS10G0505000
AT1G43666	OS06G0705400
AT1G43666	OS10G0504650
AT5G59010	OS03G0825300
AT1G08630	OS04G0516600
AT3G22040	OS03G0564600
AT2G27035	OS03G0758500
AT2G27035	OS07G0112700
AT1G66150	OS03G0717000
AT5G45790	OS02G0464400
AT5G45790	OS12G0130100
AT2G35610	OS03G0586300
AT5G27700	OS03G0667800
AT5G27700	OS03G0345200
AT1G04640	OS03G0321800
AT1G56500	OS03G0311300
AT2G30460	OS01G0823200
AT2G30460	OS05G0168700
